Lokasi,Lat,long,Dikonfirmasi,Sembuh,Meninggal Dunia
Aceh,4.695135,96.749397,7,4,1
Jakarta,-6.2,106.816666,3260,286,298
West Java,-6.914864,107.608238,756,75,68
East Java,-7.250445,112.768845,603,101,58
Central Java,-6.966667,110.416664,449,51,44
South Sulawesi,-5.135399,119.42379,374,73,30
Banten,-6.12,106.150276,341,17,35
Bali,-8.409518,115.188919,150,42,3
Papua,-2.598744,140.673179,118,28,6
South Kalimantan,-0.502106,117.153709,98,9,6
West Nusa Tenggara,-8.584671,116.104951,93,11,4
South Sumatra,-2.990934,104.756554,89,5,3
North Sumatra,3.597031,98.678513,84,13,9
Riau Islands,1.045626,104.030457,81,8,8
North Kalimantan,2.775165,117.43276,77,2,1
West Sumatra,-0.929775,100.374779,76,13,7
Special Region of Yogyakarta,-7.797068,110.370529,72,30,7
East Kalimantan,-1.265386,116.8312,68,11,1
Central Kalimantan,-2.21056,113.905098,67,9,4
South East Sulawesi,-3.972201,122.5149,37,4,2
Riau,0.506566,101.43779,35,9,4
Central Sulawesi,-0.88362,119.88347,27,3,3
Lampung,-4.928829,105.014872,27,10,5
West Kalimantan,0,109.333336,27,7,3
North Sulawesi,1.47483,124.842079,20,5,3
Maluku,-3.654703,128.190643,17,10,0
Jambi,-1.609972,103.607254,13,1,0
Bangka Belitung Islands,-2.133333,106.116669,8,2,1
Bengkulu,-3.788892,102.266579,8,1,1
Gorontalo,0.699937,122.446724,7,0,1
West Papua,-0.862703,134.06248,7,0,1
West Sulawesi,-2.535247,119.2759,7,1,1
North Maluku,0.792285,127.375882,4,2,0
East Nusa Tenggara,-10.178757,123.597603,1,0,0
